Date of trade submitted (YYYY-MM-DD),Action,Amount Bought/Sold,Ticker
2024-12-02,buy,450000,MRK
2025-01-07,buy,20,UNH
2025-04-03,buy,100,TMO
2025-04-07,buy,100,TMO
2025-04-08,buy,100,TMO
2025-04-09,sell,20,UNH
2025-04-24,buy,282,TMO
2025-04-24,buy,100,ABBV
2025-06-10,sell,1000,MRK
2025-06-16,sell,1000,MRK
2025-07-08,sell,1000,MRK
2025-07-09,buy,50637,BIL
2025-07-14,sell,100,ABBV
2025-07-21,sell,1500,BIL
2025-07-21,buy,700,BSX
2025-07-23,buy,100,HCA
2025-07-24,sell,700,BSX
2025-07-28,buy,50,ABBV
2025-08-06,buy,100,HCA
2025-08-15,sell,200,HCA
2025-08-24,sell,5000,MRK
2025-09-08,sell,5000,MRK
2025-09-10,sell,49000,BIL
2025-09-10,sell,150000,MRK
2025-09-11,sell,100000,MRK
2025-09-11,sell,582,TMO
2025-09-11,buy,39000,HCA
2025-09-11,buy,40000,ABBV
2025-09-11,buy,27418,BIL
2025-09-13,sell,18833,BIL
2025-09-17,buy,5000,UNH
2025-10-10,sell,1006,BIL
2025-10-10,buy,240,HCA
2025-10-29,sell,20000,HCA
2025-10-29,buy,70000,NVS
2025-10-29,buy,5000,PFE
2025-10-31,sell,20000,ABBV
2025-10-31,buy,108000,PFE
2025-10-31,buy,25481,BIL



